Red,Green,Blue
10394,8605,7530
12126,9934,11660
12568,11125,11107
12359,11175,11871
7859,11824,7669
11995,8598,12000
12604,11785,11265
12217,11881,11332
12074,11140,11149
12779,11898,11265
10080,11453,7448
12398,6622,11428
13240,11256,12238
12483,11567,11158
13076,10757,11660
10056,8219,5971
12483,9852,11551
13071,11011,10787
12468,10934,10948
12065,11621,10757
9631,9922,6875
10656,5592,10225
11916,10195,9455
9456,9720,9779
10637,9774,10621
9935,10143,9379
9037,9948,7199
10398,8837,9487
10618,8499,10222
11765,8721,10237
11387,3362,10387
11227,11190,11002
10941,10535,10200
11298,11002,10235
11400,11375,10475
11473,11005,10694
11609,10205,9613
11197,9715,9565
8835,9979,6505
12836,10425,8912
15396,11238,13025
14513,9493,10387
11865,10583,9408
11264,10506,10039
11838,11008,10150
11934,10430,9770
8798,8601,7700
8613,6882,7644
9795,8370,8233
8686,8461,7214
8175,8682,7281
8936,8899,7472
7624,8946,7265
10531,8106,8119
10520,10430,8434
10869,10721,8196
13703,14894,11725
29631,25811,19134
24749,27182,19654
28023,28130,18707
26747,17281,14378
10387,24216,18291
24886,28149,8371
21629,29641,20805
22160,23083,21597
29207,31115,21509
27371,28826,20145
26986,12405,12125
23874,28807,19934
23435,28767,19204
27006,28571,19747
24479,24542,21301
21379,11020,18876
26747,26921,20233
20513,25528,18657
27831,23643,18526
24647,29066,21608
25887,26379,19472
26946,24077,17389
26946,24921,18970
11595,23405,18666
23266,19553,7489
26728,9848,16206
27289,11912,17593
28371,25312,17043
28218,25297,18493
27228,22489,15263
27746,22441,16552
26282,23392,16960
25776,23250,17147
25077,23458,16558
26074,22192,16519
11774,22310,16352
24019,17288,9838
9287,5951,6770
6628,7909,6952
7948,7632,7524
6882,6810,7179
7246,6774,6931
6787,6975,7318
6769,7052,7098
7088,7377,6571
7754,6030,7261
7220,7017,7264
6910,7734,7133
7979,7284,7403
7955,7665,7721
7271,7839,7335
7506,7645,6987
7068,7797,7364
6671,7333,5346
7214,6864,7115
7161,7423,7370
7673,7136,7293
7179,7451,7595
7285,6901,7560
7976,7083,7452
6646,6157,5623
6979,6911,7725
7686,7018,7499
7917,7255,6922
7463,7104,7885
6981,7279,7427
7368,7464,7307
7653,7098,7336
7114,5974,5878
7012,2133,7191
7608,7707,7169
7368,7572,7553
7932,7616,7866
7478,7697,7515
7543,7512,7361
7470,7757,7958
6750,7423,6554
7776,6947,7538
7808,6602,6890
7626,7700,7388
7491,7851,7524
7446,7134,7780
7736,6924,7286
7504,7534,7438
7450,7249,7885
6701,7734,5558
7976,7385,6842
7648,6736,7960
7515,7276,8153
7408,7276,8025
7497,7705,7205
6946,7903,7385
7133,7580,6842
7214,7438,7283
7686,7221,7599
7110,7168,7354
6998,7064,5210
7254,4686,7237
7513,7188,7250
7606,7434,7279
7611,7705,7826
7797,7738,7260
7271,7522,7580
7491,6793,5650
6856,6933,7024
7873,7095,7407
7597,7785,7491
6469,6523,7017
6483,6263,6564
6179,7083,6997
7385,7294,7239
10300,8648,9974
8754,8137,8509
8699,7857,9939
8374,8664,9318
6843,8538,6843
6483,4963,7469
7861,7591,8415
8776,8225,9281
8123,8104,9254
8443,8410,8303
8019,8594,9018
7804,8115,8683
8245,8333,8612
8315,8284,9364
6130,8511,8863
7260,7724,7598
8610,8616,6485
8457,7016,9536
7920,8098,8912
7589,8493,9080
3136,7653,9419
7998,8134,9500
8121,5356,8774
8418,8044,8956
7711,7393,10464
9320,14305,14079
20907,21290,20058
27704,27685,24556
22132,29831,31583
21250,30218,30002
21237,26247,30481
20040,28926,27395
24379,23981,27235
21392,16181,11131
28705,6924,28807
22160,26362,30548
20405,29959,30705
21885,29433,31607
23987,18558,20350
13017,11573,7610
14175,7906,11497
18281,10160,17667
24329,11980,15857
25467,23458,18600
26966,23817,19346
27831,24008,17893
25703,23899,18236
27006,24470,20490
27959,22770,18094
20758,22770,17962
27351,23471,18493
22105,23590,18526
27167,23392,19328
27086,23763,18935
27433,24906,18379
26435,9139,16858
26093,20087,18842
22774,22513,17346
25539,21620,19134
28305,19925,17637
9949,22795,17916
9484,21013,16014
28131,23275,8144
27831,20600,14508
28371,1500,20116
27269,13684,20126
24766,9855,19906
12936,12460,11351
12665,11078,10691
11041,12314,11683
11870,10905,11615
